"deposit","duration_mean","duration_sd","start_mean","start_median","end_mean","end_median","start_q2","end_q2","duration_q2","start_q16","end_q16","duration_q16","start_q50","end_q50","duration_q50","start_q84","end_q84","duration_q84","start_q98","end_q98","duration_q98","site"
1,685.127704003,94.6733807937138,1031.08092848,1027.47865,345.953224477,354.02521,909.92553975,210.28897725,514.0845205,972.2414108,288.1925976,594.4484812,1027.47865,354.02521,676.853445,1093.16202,403.5080828,780.322334,1162.1365225,437.13942175,890.854308,"Broome_Tech"
2,37.7074739225,78.4414897317662,487.9526625825,476.02827,450.24518866,465.99857,452.680066,291.50918575,0,463.11033,426.2088408,0,476.02827,465.99857,0.00504499999999553,520.090358,479.4013968,99.3053756,585.3651875,492.58536225,279.7347655,"CCE_Site"
3,593.60289125525,83.9472433457369,882.1312737325,875.33584,288.52838247725,296.701425,792.840412,174.72558525,449.5310035,828.106694,234.442418,510.8012304,875.33584,296.701425,583.998945,938.1878132,339.291866,679.840836,1011.5458275,371.628545,773.3818615,"Chenango_Point"
4,14.5260206175,40.1029576961968,676.6509997525,672.04524,662.124979135,668.688265,659.1468965,585.76807525,0,665.468362,657.6229804,0,672.04524,668.688265,0.000569999999981974,682.3270452,675.3006884,16.3410464,735.859978,680.85315825,147.38998625,"Hill_Creek"
5,392.67107947225,75.5208703598264,770.7042866475,764.119635,378.03320717525,386.60273,705.5362175,264.809206,276.10887375,730.7100416,335.5442952,321.1097112,764.119635,386.60273,380.993955,810.7452856,420.6239256,465.1088248,868.46735325,444.50831675,568.61551025,"Thomas_Luckey"
