"site","slice_start","slice_end","p_occupied"
"Owego Southside Sewage Treatment",1050,1100,0
"PC2",1050,1100,5e-04
"Port Dickinson",1050,1100,0.523
"Raish-2",1050,1100,0.00975
"Roberson",1050,1100,0.031
"Roundtop",1050,1100,0.00175
"Russ",1050,1100,0.00125
"Sidney Airport",1050,1100,0
"Street",1050,1100,0.4065
"Thomas_Luckey",1050,1100,0.00025
"White",1050,1100,0.23275
"Apalachin Creek",1100,1150,0
"Ayers1",1100,1150,0.3375
"Bates",1100,1150,0.00675
"Broome_Tech",1100,1150,0.7425
"Castle Creek",1100,1150,0.01025
"CCE_Site",1100,1150,0.359
"Chenango_Point",1100,1150,0.361
"Chenango_Shores_East",1100,1150,0.115
"Denton Reed 2",1100,1150,0.0035
"Deposit_Airport1",1100,1150,0.555
"Egli",1100,1150,0.072
"Engelbert",1100,1150,5e-04
"Fortin",1100,1150,0.3445
"Gardepe",1100,1150,0.091
"Herrick Hollow I",1100,1150,0.18975
"Herrick Hollow II",1100,1150,0.3945
"Herrick Hollow V",1100,1150,0.187
"Jamba",1100,1150,5e-04
"Lamb",1100,1150,0.0015
"Lamoree",1100,1150,0.31625
"Lords_Wells",1100,1150,0.27475
"Otsiningo_Market",1100,1150,5e-04
"Owego River Crossing",1100,1150,0.01025
"Owego Southside Sewage Treatment",1100,1150,0
"PC2",1100,1150,0.00075
"Port Dickinson",1100,1150,0.6265
"Raish-2",1100,1150,0.01325
"Roberson",1100,1150,0.02425
"Roundtop",1100,1150,0.01525
"Russ",1100,1150,0.00125
"Sidney Airport",1100,1150,0
"Street",1100,1150,0.458
"Thomas_Luckey",1100,1150,0.00175
"White",1100,1150,0.22675
"Apalachin Creek",1150,1200,0.00025
"Ayers1",1150,1200,0.2665
"Bates",1150,1200,0.0505
"Broome_Tech",1150,1200,0.851
"Castle Creek",1150,1200,0.02175
"CCE_Site",1150,1200,0.4715
"Chenango_Point",1150,1200,0.76475
"Chenango_Shores_East",1150,1200,0.856
"Denton Reed 2",1150,1200,0.00175
"Deposit_Airport1",1150,1200,0.54375
"Egli",1150,1200,0.0775
"Engelbert",1150,1200,0.0025
"Fortin",1150,1200,0.26775
"Gardepe",1150,1200,0.073
"Herrick Hollow I",1150,1200,0.117
"Herrick Hollow II",1150,1200,0.66275
"Herrick Hollow V",1150,1200,0.121
"Jamba",1150,1200,0.00225
"Lamb",1150,1200,0.0045
"Lamoree",1150,1200,0.2795
"Lords_Wells",1150,1200,0.8445
"Otsiningo_Market",1150,1200,0.0045
"Owego River Crossing",1150,1200,0.02425
"Owego Southside Sewage Treatment",1150,1200,0.00025
"PC2",1150,1200,0.00375
"Port Dickinson",1150,1200,0.4325
"Raish-2",1150,1200,0.018
"Roberson",1150,1200,0.01975
"Roundtop",1150,1200,0.08625
"Russ",1150,1200,0.002
"Sidney Airport",1150,1200,5e-04
"Street",1150,1200,0.50925
"Thomas_Luckey",1150,1200,0.01275
"White",1150,1200,0.19825
"Apalachin Creek",1200,1250,0.00225
"Ayers1",1200,1250,0.1425
"Bates",1200,1250,0.204
"Broome_Tech",1200,1250,0.85
"Castle Creek",1200,1250,0.0605
"CCE_Site",1200,1250,0.58525
"Chenango_Point",1200,1250,0.96125
"Chenango_Shores_East",1200,1250,0.85125
"Denton Reed 2",1200,1250,5e-04
"Deposit_Airport1",1200,1250,0.314
"Egli",1200,1250,0.11125
"Engelbert",1200,1250,0.004
"Fortin",1200,1250,0.1875
"Gardepe",1200,1250,0.055
"Herrick Hollow I",1200,1250,0.081
"Herrick Hollow II",1200,1250,0.441
"Herrick Hollow V",1200,1250,0.07775
"Jamba",1200,1250,0.01075
"Lamb",1200,1250,0.00975
"Lamoree",1200,1250,0.1875
"Lords_Wells",1200,1250,0.77625
"Otsiningo_Market",1200,1250,0.03975
"Owego River Crossing",1200,1250,0.07925
"Owego Southside Sewage Treatment",1200,1250,0.00325
"PC2",1200,1250,0.01525
"Port Dickinson",1200,1250,0.167
"Raish-2",1200,1250,0.034
"Roberson",1200,1250,0.01525
"Roundtop",1200,1250,0.2955
"Russ",1200,1250,0.00375
"Sidney Airport",1200,1250,5e-04
"Street",1200,1250,0.43875
"Thomas_Luckey",1200,1250,0.1245
"White",1200,1250,0.15575
"Apalachin Creek",1250,1300,0.0115
"Ayers1",1250,1300,0.03075
"Bates",1250,1300,0.80475
"Broome_Tech",1250,1300,0.72275
"Castle Creek",1250,1300,0.18825
"CCE_Site",1250,1300,0.654
"Chenango_Point",1250,1300,0.995
"Chenango_Shores_East",1250,1300,0.206
"Denton Reed 2",1250,1300,0
"Deposit_Airport1",1250,1300,0.05775
"Egli",1250,1300,0.15825
"Engelbert",1250,1300,0.0175
"Fortin",1250,1300,0.105
"Gardepe",1250,1300,0.041
"Herrick Hollow I",1250,1300,0.05225
"Herrick Hollow II",1250,1300,0.083
"Herrick Hollow V",1250,1300,0.04425
"Jamba",1250,1300,0.05825
"Lamb",1250,1300,0.02925
"Lamoree",1250,1300,0.11475
"Lords_Wells",1250,1300,0.29225
"Otsiningo_Market",1250,1300,0.49125
"Owego River Crossing",1250,1300,0.3025
"Owego Southside Sewage Treatment",1250,1300,0.022
"PC2",1250,1300,0.088
"Port Dickinson",1250,1300,0.033
"Raish-2",1250,1300,0.10675
"Roberson",1250,1300,0.01175
"Roundtop",1250,1300,0.52925
"Russ",1250,1300,0.0065
"Sidney Airport",1250,1300,0.001
"Street",1250,1300,0.19525
"Thomas_Luckey",1250,1300,0.298
"White",1250,1300,0.1115
"Apalachin Creek",1300,1350,0.02875
"Ayers1",1300,1350,0.0075
"Bates",1300,1350,0.93775
"Broome_Tech",1300,1350,0.5515
"Castle Creek",1300,1350,0.39675
"CCE_Site",1300,1350,0.70275
"Chenango_Point",1300,1350,0.998
"Chenango_Shores_East",1300,1350,0.0705
"Denton Reed 2",1300,1350,0
"Deposit_Airport1",1300,1350,0.01075
"Egli",1300,1350,0.21075
"Engelbert",1300,1350,0.0785
"Fortin",1300,1350,0.0475
"Gardepe",1300,1350,0.02825
"Herrick Hollow I",1300,1350,0.0325
"Herrick Hollow II",1300,1350,0.00875
"Herrick Hollow V",1300,1350,0.0335
"Jamba",1300,1350,0.223
"Lamb",1300,1350,0.091
"Lamoree",1300,1350,0.06475
"Lords_Wells",1300,1350,0.0395
"Otsiningo_Market",1300,1350,0.74675
"Owego River Crossing",1300,1350,0.64475
"Owego Southside Sewage Treatment",1300,1350,0.078
"PC2",1300,1350,0.377
"Port Dickinson",1300,1350,0.00675
"Raish-2",1300,1350,0.28475
"Roberson",1300,1350,0.0095
"Roundtop",1300,1350,0.71725
"Russ",1300,1350,0.01
"Sidney Airport",1300,1350,0.00525
"Street",1300,1350,0.033
"Thomas_Luckey",1300,1350,0.39675
"White",1300,1350,0.06575
"Apalachin Creek",1350,1400,0.06225
"Ayers1",1350,1400,0.00325
"Bates",1350,1400,0.235
"Broome_Tech",1350,1400,0.2645
"Castle Creek",1350,1400,0.5155
"CCE_Site",1350,1400,0.90375
"Chenango_Point",1350,1400,0.99575
"Chenango_Shores_East",1350,1400,0.029
"Denton Reed 2",1350,1400,0
"Deposit_Airport1",1350,1400,0.00275
"Egli",1350,1400,0.2275
"Engelbert",1350,1400,0.1925
"Fortin",1350,1400,0.02875
"Gardepe",1350,1400,0.0185
"Herrick Hollow I",1350,1400,0.0235
"Herrick Hollow II",1350,1400,0.00125
"Herrick Hollow V",1350,1400,0.024
"Jamba",1350,1400,0.51575
"Lamb",1350,1400,0.22175
"Lamoree",1350,1400,0.042
"Lords_Wells",1350,1400,0.006
"Otsiningo_Market",1350,1400,0.58975
"Owego River Crossing",1350,1400,0.68575
"Owego Southside Sewage Treatment",1350,1400,0.2765
"PC2",1350,1400,0.863
"Port Dickinson",1350,1400,0.00075
"Raish-2",1350,1400,0.44925
"Roberson",1350,1400,0.00625
"Roundtop",1350,1400,0.96925
"Russ",1350,1400,0.01125
"Sidney Airport",1350,1400,0.01275
"Street",1350,1400,0.00575
"Thomas_Luckey",1350,1400,0.9905
"White",1350,1400,0.03975
"Apalachin Creek",1400,1450,0.07025
"Ayers1",1400,1450,0.001
"Bates",1400,1450,0.0415
"Broome_Tech",1400,1450,0.1685
"Castle Creek",1400,1450,0.46475
"CCE_Site",1400,1450,0.9715
"Chenango_Point",1400,1450,0.9825
"Chenango_Shores_East",1400,1450,0.0155
"Denton Reed 2",1400,1450,0
"Deposit_Airport1",1400,1450,0.00075
