"site_a","site_b","median_years","lo95","hi95","p_ge_25","p_any"
"Lamoree","Roundtop",0,0,80,0.0995,0.13375
"Lamoree","Russ",0,0,0,0.00575,0.01175
"Lamoree","Sidney Airport",0,0,0,0.00925,0.01325
"Lamoree","Street",0,0,80,0.189,0.286
"Lamoree","Thomas_Luckey",0,0,60,0.0575,0.079
"Lamoree","White",0,0,60,0.11025,0.1655
"Lords_Wells","Otsiningo_Market",0,0,40,0.03775,0.08275
"Lords_Wells","Owego River Crossing",0,0,50,0.05675,0.08825
"Lords_Wells","Owego Southside Sewage Treatment",0,0,0,0.0025,0.00675
"Lords_Wells","PC2",0,0,10,0.014,0.02625
"Lords_Wells","Port Dickinson",0,0,80,0.2605,0.401
"Lords_Wells","Raish-2",0,0,30,0.026,0.0425
"Lords_Wells","Roberson",0,0,0,0.0135,0.02275
"Lords_Wells","Roundtop",0,0,90,0.1815,0.249
"Lords_Wells","Russ",0,0,0,0.003,0.004
"Lords_Wells","Sidney Airport",0,0,0,0.00025,0.00075
"Lords_Wells","Street",10,0,100,0.3905,0.55675
"Lords_Wells","Thomas_Luckey",0,0,60,0.064,0.11175
"Lords_Wells","White",0,0,70,0.14875,0.224
"Otsiningo_Market","Owego River Crossing",20,0,90,0.4345,0.63525
"Otsiningo_Market","Owego Southside Sewage Treatment",0,0,60,0.1155,0.19175
"Otsiningo_Market","PC2",10,0,80,0.35425,0.55075
"Otsiningo_Market","Port Dickinson",0,0,0,0.0055,0.01175
"Otsiningo_Market","Raish-2",0,0,80,0.22775,0.3585
"Otsiningo_Market","Roberson",0,0,0,0.00825,0.01025
"Otsiningo_Market","Roundtop",40,0,130,0.68375,0.82
"Otsiningo_Market","Russ",0,0,0,0.0065,0.01325
"Otsiningo_Market","Sidney Airport",0,0,0,0.00725,0.01225
"Otsiningo_Market","Street",0,0,30,0.02925,0.05575
"Otsiningo_Market","Thomas_Luckey",30,0,120,0.5105,0.6685
"Otsiningo_Market","White",0,0,40,0.04525,0.068
"Owego River Crossing","Owego Southside Sewage Treatment",0,0,80,0.19725,0.29325
"Owego River Crossing","PC2",20,0,90,0.444,0.63475
"Owego River Crossing","Port Dickinson",0,0,10,0.01525,0.0255
"Owego River Crossing","Raish-2",0,0,80,0.278,0.40825
"Owego River Crossing","Roberson",0,0,0,0.0065,0.01
"Owego River Crossing","Roundtop",50,0,150,0.73425,0.85025
"Owego River Crossing","Russ",0,0,0,0.015,0.02325
"Owego River Crossing","Sidney Airport",0,0,10,0.0175,0.029
"Owego River Crossing","Street",0,0,40,0.0395,0.0625
"Owego River Crossing","Thomas_Luckey",30,0,140,0.599,0.74425
"Owego River Crossing","White",0,0,40,0.0465,0.07275
"Owego Southside Sewage Treatment","PC2",0,0,100,0.364,0.49125
"Owego Southside Sewage Treatment","Port Dickinson",0,0,0,0.00025,5e-04
"Owego Southside Sewage Treatment","Raish-2",0,0,90,0.29225,0.4165
"Owego Southside Sewage Treatment","Roberson",0,0,0,0.00325,0.0045
"Owego Southside Sewage Treatment","Roundtop",60,0,190,0.8125,0.8965
"Owego Southside Sewage Treatment","Russ",0,0,60,0.105,0.158
"Owego Southside Sewage Treatment","Sidney Airport",0,0,80,0.1815,0.276
"Owego Southside Sewage Treatment","Street",0,0,0,0.00275,0.00425
"Owego Southside Sewage Treatment","Thomas_Luckey",50,0,150,0.71325,0.831
"Owego Southside Sewage Treatment","White",0,0,20,0.021,0.0325
"PC2","Port Dickinson",0,0,0,0.00275,0.00425
"PC2","Raish-2",10,0,90,0.37125,0.5265
"PC2","Roberson",0,0,0,0.00575,0.00825
"PC2","Roundtop",60,0,170,0.89175,0.95125
"PC2","Russ",0,0,20,0.02125,0.035
"PC2","Sidney Airport",0,0,30,0.03175,0.05375
"PC2","Street",0,0,0,0.0095,0.01925
"PC2","Thomas_Luckey",60,0,150,0.8605,0.928
"PC2","White",0,0,40,0.03475,0.0515
"Port Dickinson","Raish-2",0,0,0,0.011,0.0175
"Port Dickinson","Roberson",0,0,20,0.02425,0.03175
"Port Dickinson","Roundtop",0,0,40,0.03675,0.0585
"Port Dickinson","Russ",0,0,0,0.00075,0.0015
"Port Dickinson","Sidney Airport",0,0,0,0,0
"Port Dickinson","Street",0,0,80,0.31,0.47275
"Port Dickinson","Thomas_Luckey",0,0,0,0.01075,0.02075
"Port Dickinson","White",0,0,70,0.17075,0.26275
"Raish-2","Roberson",0,0,0,0.006,0.00775
"Raish-2","Roundtop",40,0,160,0.68,0.77225
"Raish-2","Russ",0,0,50,0.06725,0.1025
"Raish-2","Sidney Airport",0,0,60,0.09975,0.1515
"Raish-2","Street",0,0,20,0.022,0.0355
"Raish-2","Thomas_Luckey",30,0,130,0.59425,0.705
"Raish-2","White",0,0,30,0.02825,0.0455
"Roberson","Roundtop",0,0,0,0.01175,0.0145
"Roberson","Russ",0,0,0,0.0015,0.002
"Roberson","Sidney Airport",0,0,0,0.001,0.00175
"Roberson","Street",0,0,20,0.022,0.03
"Roberson","Thomas_Luckey",0,0,0,0.0115,0.01325
"Roberson","White",0,0,50,0.05325,0.077
"Roundtop","Russ",0,0,90,0.173,0.23625
"Roundtop","Sidney Airport",0,0,130,0.314,0.412
"Roundtop","Street",0,0,70,0.106,0.154
"Roundtop","Thomas_Luckey",130,30,280,0.9795,0.98775
"Roundtop","White",0,0,80,0.1005,0.13125
"Russ","Sidney Airport",0,0,80,0.20625,0.31575
"Russ","Street",0,0,0,0.00075,0.00175
"Russ","Thomas_Luckey",0,0,60,0.0655,0.10075
"Russ","White",0,0,0,0.008,0.013
"Sidney Airport","Street",0,0,0,5e-04,5e-04
"Sidney Airport","Thomas_Luckey",0,0,80,0.107,0.1735
"Sidney Airport","White",0,0,0,0.00675,0.01325
"Street","Thomas_Luckey",0,0,40,0.0415,0.069
"Street","White",0,0,80,0.17025,0.2515
"Thomas_Luckey","White",0,0,60,0.0655,0.0835
